,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6991,Ashley McBryde,A Little Dive Bar in Dahlonega,spotify:track:7qcRDEpmDWS0bLHaZRYE8c,56,2018,0.639,0.479,1,-6.192,1,0.0447,0.426,0.0,0.151,0.571,146.084,audio_features,209080,4
6992,HoodRich Pablo Juan,We Don't Luv Em (Remix),spotify:track:2Y43TDqgnRgVZA7RxtxEV1,57,2018,0.896,0.615,6,-9.326,0,0.326,0.293,0.0,0.122,0.89,140.04,audio_features,193776,4
6993,The Internet,Hold On,spotify:track:5tqZJUHEuqdN12RZVq2l9p,58,2018,0.7,0.414,0,-10.864,1,0.0373,0.849,0.0606,0.107,0.444,60.479,audio_features,406467,4
6994,JayDaYoungan,Interstate,spotify:track:6hhfKoEWsloGQhvLQfsoat,55,2018,0.717,0.753,7,-6.981,1,0.409,0.0154,0.0,0.0888,0.508,75.985,audio_features,190276,4
6995,Barnes Blvd.,I Have Love for Everyone Besides Myself.,spotify:track:6okflAl3X7elXPx7MgJMi6,60,2018,0.352,0.238,0,-18.408,1,0.1,0.97,0.586,0.0664,0.0376,72.649,audio_features,161239,3
6996,Cole Swindell,20 in a Chevy,spotify:track:1XIYYgAkVxULMbhr2zNjKS,56,2018,0.587,0.82,8,-5.662,1,0.0414,0.0559,7.28e-06,0.0777,0.604,95.011,audio_features,184080,4
6997,Six,No Way,spotify:track:2ldBp6eNIE4wk8C3j0bz8n,61,2018,0.629,0.713,5,-6.498,0,0.173,0.0306,0.0,0.173,0.511,119.363,audio_features,241501,4
6998,XXXTENTACION,One Minute (feat. Kanye West & Travis Barker),spotify:track:0T6RSXxFhW8dRTWHI604ld,59,2018,0.568,0.636,11,-4.265,1,0.204,0.00671,0.0,0.105,0.879,113.497,audio_features,197759,5
6999,Jon Langston,When It Comes To Loving You,spotify:track:28dfxTgOAmwM1DhplcIB7G,55,2018,0.689,0.534,7,-6.261,1,0.0527,0.358,0.0,0.115,0.552,111.91,audio_features,210080,4
7000,James Bay,Wild Love - Acoustic,spotify:track:4zDQS1OCghoOKkjw6hf2qT,66,2018,0.522,0.407,11,-7.682,0,0.0385,0.844,0.0,0.101,0.515,139.992,audio_features,189147,4
7001,Lummus Park,Ocean And 17th,spotify:track:2IUuk04dZVG8KRBJpcrpzt,62,2018,0.502,0.0441,0,-22.503,1,0.0384,0.968,0.943,0.0992,0.0888,77.476,audio_features,189402,4
7002,Maluma,Marinero,spotify:track:6x5LBP3nYXVdIDoomChGr3,68,2018,0.58,0.491,7,-5.156,1,0.0473,0.683,0.0,0.122,0.843,83.81,audio_features,189133,4
7003,Rich Brian,Glow Like Dat,spotify:track:7MXcmkmyxEYAJf04cbqKoI,61,2018,0.787,0.586,10,-9.64,1,0.0695,0.411,0.000311,0.118,0.581,140.036,audio_features,210862,4
7004,Playboi Carti,Middle Of The Summer (feat. Red Coldhearted),spotify:track:7AtBtwrKhz94hYXgGYyG58,57,2018,0.638,0.669,8,-6.442,1,0.234,0.0125,0.0,0.0747,0.452,136.867,audio_features,137027,4
7005,Vince Staples,FUN!,spotify:track:41uX0L4bro4KfKtDIIEFFe,58,2018,0.953,0.554,0,-5.12,1,0.076,0.616,0.000869,0.106,0.457,101.011,audio_features,171107,4
7006,Joseph Beg,Night In Burma,spotify:track:77USyndX2lw1Sy82Rt2JIq,60,2018,0.0671,0.0259,11,-33.405,1,0.0371,0.756,0.809,0.136,0.242,69.855,audio_features,208939,4
7007,The Neighbourhood,Nervous,spotify:track:113xf7t4qNM7038YJvauik,64,2018,0.589,0.614,0,-7.528,0,0.0426,0.0213,0.165,0.31,0.318,119.837,audio_features,245000,4
7008,Rod Wave,My Love,spotify:track:1gHlDVQQ3lC3SR02hR8tCh,55,2018,0.72,0.7,5,-6.413,0,0.0847,0.0757,0.0,0.106,0.792,154.96,audio_features,174881,4
7009,Jon Langston,Prob'ly At A Bar,spotify:track:7dysCAfzEwSY94rfkEYTeE,55,2018,0.553,0.723,6,-4.476,1,0.0321,0.0527,0.0,0.0851,0.579,137.96,audio_features,202747,4
7010,Tory Lanez,DrIP DrIp Drip (feat. Meek Mill),spotify:track:2Ny2S1Qawr4QpzeuT62qK6,59,2018,0.71,0.814,10,-4.575,1,0.0561,0.162,0.0,0.16,0.714,155.02,audio_features,230440,4
7011,La Fiera de Ojinaga,Te Vas a Acordar de Mi,spotify:track:5pdfnefsLnfBFo7gxHvqBK,57,2018,0.756,0.848,10,-3.832,1,0.0365,0.236,0.0,0.386,0.89,119.068,audio_features,204805,4
7012,Paul Rosenberg,Paul - Skit,spotify:track:0Uv5Kp8sEnriJjkX4oLfNI,62,2018,0.636,0.335,11,-13.327,1,0.966,0.993,0.0,0.342,0.561,161.68,audio_features,35240,4
7013,Lil Durk,Skrubs,spotify:track:5uNMSSxk4ve8R7yQnUBQAT,57,2018,0.741,0.665,8,-5.669,0,0.364,0.0513,0.0,0.119,0.515,147.025,audio_features,261465,4
7014,Doja Cat,Roll With Us,spotify:track:1V4uZia23KCnh7BfTTsVMu,58,2018,0.664,0.637,2,-5.593,1,0.0283,0.00434,5e-06,0.199,0.125,121.975,audio_features,180907,4
7015,Lil Peep,Leanin',spotify:track:6cX1iTffMIAU8lEWSOYIIO,61,2018,0.501,0.486,2,-6.6,0,0.0298,0.19,0.0,0.103,0.318,139.872,audio_features,206493,4
7016,DEAN,dayfly,spotify:track:2AA1f7utyvXpmtKsEvp5lz,61,2018,0.726,0.492,10,-8.046,0,0.0794,0.566,8.14e-06,0.257,0.526,85.939,audio_features,207113,4
7017,Dan + Shay,"Million Reasons - Live Session at Sound Stage Studios, Nashville, TN",spotify:track:1tx3VJH2ThfGR0uYvcmkaK,57,2018,0.595,0.542,0,-6.443,1,0.0287,0.0322,0.0,0.106,0.217,130.05,audio_features,194480,4
7018,Logic,100 Miles and Running (ft. Wale & John Lindahl),spotify:track:4CstQ0SUkl0YkoeZkIZlIx,58,2018,0.835,0.929,7,-3.595,1,0.0653,0.579,1.28e-06,0.38,0.96,119.047,audio_features,353453,4
7019,R3HAB,Lullaby,spotify:track:0DhkTGjEaIHaSxTfC14BFm,68,2018,0.626,0.8,1,-3.988,0,0.035,0.0267,0.000138,0.0623,0.258,127.966,audio_features,160184,4
